"Response","tweets"
"negative","the iphone weatherbug app   the one every traveler should have https   t co 1zwfkp111h  iphone  ipad  weather https   t co mf3d0zyc3b"
"negative"," gadgets https   t co ixsefnchcz  iphone 6 this is what happens when you put an iphone 6 in a lava lamp"
"neutral","an exclusive look at an orginal  iphone prototype https   t co iomx1dat6c  smartphone https   t co d5fcngmwjt"
"positive","looks good  feels good   personalization welcome  just the way you imagined   to see our all  bouletta products  vi  https   t co a9hkdjdykx"
"positive","happy camper   https   t co fzbxspn61h   iphone  iphonecase  samsung  skin  iphone8  case  iphonex  pattern  https   t co 4dntxmfvz5"
"neutral","guess the word   ios source code   https   t co iiixxjsl31 via  codesterhq  wordguessing   iphone  ipad  itunes  appstore"
"positive","hey guys  videos in https   t co 2ij5ontciy  shopping  price  money  coupon  tv  video  aws  prime  primevideo  https   t co lugmo2cwlq"
"positive","streamers react to new  exclusive  iphone skin   1000    link   https   t co 9vsorpj1hu   fortnite  iphone  apple  https   t co 4xl2ff4n4t"
"positive"," applecard may reap  1 5 billion in revenue and be in top 10 card issuers by 2024  resulting in a windfall not just  https   t co 8h8y05tmc4"
"positive","stereo wireless headphone with mic iksmarkets   things and more shop   https   t co db18q66btq tag  follow and shar  https   t co imwwkhl9iu"
"neutral","rt  radioperipou  nowplaying   q funktion and rab achin   valley  https   t co 6xyfg2isbo   iphone app https   t co csmu9adcyx   peripouweb "
"positive","when will an  iphone bring you money  exactly   werlaunch  lemonadestand enabled iphone app to start your business  https   t co 10iwvqgzfp"
"positive"," whatdoesntkillyouin4words  my iphone 8 plus     unlike that old galaxy note 7  the  iphone will not kill you  mean  https   t co zjpq4q9pxw"
"neutral","mod flower power iphone wallet by gail sarasohn for https   t co o2klxzglha   redbubble  paisley flowers iphonewall  https   t co 1u3okltylr"
"positive","10 best  barcode  scanner apps for  iphone 2019  https   t co uhbx6gyxun   iphone  barcoescanner  bestbarcodescanner"
"positive","moxie rox tech head deal o  the day    b amp h photo video    apple watch  nike  series 3 42mm smartwatch  269    https   t co xrmkusitel"
"neutral","nowplaying   q funktion and rab achin   valley  https   t co 6xyfg2isbo   iphone app https   t co csmu9adcyx   peripouwebradio"
"positive","apple watch user guide  amp  tutorial   apple watch basics   https   t co u5jmdyrzmt  applewatch  applewatch4  https   t co uiuorxp2lo"
"positive","how two  engineering  students cleverly scammed  900 000 from  apple using  30 fake iphones    https   t co qf7h1cis5z"
"positive","dial iphone customer service toll free number  1 877 779 5677 and get  applesupport for apple devices like  https   t co xo20qgicsi"
"positive","rt  hooray health  what other industries do you think mobile app technology will end up   https   t co eexjebohv9   health  healthcare  hea "
"positive","healthy  get  geometric  fruit  stickers   blogger  iphone  ios10  texting  imessage  imessageapp  imessagesticker https   t co rhgarpcm2e"
"neutral","i sold a iphone xs max case on https   t co kemxtwzjuj  https   t co zg5vxc1o2d via  fineartamerica  yankees  newyork  newyorkcity  iphone"
"positive","foxconn technology group is reportedly gearing up to begin production of the latest iphones in india    foxconn  https   t co csgxfzgmng"
"neutral","https   t co a8fqxafexr how to use 10 fingers for touch id on your iphone  howtouse10fingersfortouchidonyouriphone  https   t co occykdfyj2"
"positive","our  phoneoftheday is this lovely  apple  iphone 6 with 64gb of storage and unlocked to all networks   looking to u  https   t co pefbj6fwa8"
"positive","charge it it to the game   mophie battery power bank powerboost mini 2600mah for smartphone tablet blk  new  tech  https   t co wwph9ch6ty"
"positive","should you buy the latest  iphone or the  huaweip30pro   https   t co nop5qei6de"
"positive","hand holds the smartphone with skype application on the screen https   t co njgqpr6a5t   illustration  love  https   t co jdpltsomwe"
"neutral"," iankursingh same guy carries an  iphone no "
"positive","pioneer rayz plus in bronze and graphite   james owen design   pioneer   design  industrialdesign  productdesign  https   t co bwnwq6zvlr"
"neutral","rt  propriator   lt 3  bags   pillows   iphone  cases   business  cards  amp  much more   melangetulsa  jjsgraphics  zazzle https   t co n36r6tdkz "
"positive","10 tips for improving your content marketing strategy with instagram and other tools  android  iphone  phone  https   t co 8hws5g4old"
"positive","new  flutter app    nexusapp   digital organizer     android  iphone https   t co hyaqstrjcf"
"neutral","home  inwood            newyorkcity  manhattan  uppermanhattan  instagram  iger nyc   instagramuptown  https   t co buxljshdxs"
"negative","how to block robocalls on iphone and android    https   t co sptilso9kt  robocalls  android  iphone"
"positive","rt  ikssocial  wireless bluetooth earphone with charging box iksmarkets   things and more shop   https   t co db18q66btq tag  follow and sh "
"neutral"," iphonecase  iphone  apple  smartphonecase stone marble iphone case just  12 77 https   t co sg0olwt8vj"
"positive","probably the place where the windows xp wallpaper  bliss  was shot   california  iphone  nofilter  car  window  https   t co vmldnrnliw"
"positive","rt  dekker  beautiful day in dc   iphone https   t co rjcltqypgh"
"neutral","rt  logisticsstuff  collection of apple supply chain quotes and blogs  supplychain  apple  applesupplychain  logistics  iphone  timcook  st "
"positive","express yourself with a new sugar skull iphone case design  https   t co xvsaz2fttr  iphone  gothic https   t co fej37nhvd7"
"positive","apple just won t stop  https   t co jndphwzzn5   iphone  iphonerecovery  applesucks  iphonedatarecovery  iphonewaterdamage"
"negative","girly  basketball  otterbox symmetry  iphone 8 7  case  https   t co vmywby13du"
"neutral","rt  cydiagold   jailbreak  unc0ver  ios12   tweaks    by  pwn20wnd   iphone 7plus 12 1 1 beta3 https   t co n1iyy9i5bk"
"neutral"," iphone users  did you know your camera has a built in qr code reader   so you can point the camera at the  qrcode  https   t co kmcjbk8bgv"
"positive","if you would like to change your iphone camera format back to jpeg h 264  follow the steps in the images below    1  https   t co xelfx5dxzs"
"positive","rt  wearcrypto  get ready to rep  chellecoin with our new iphone  case    phonecase  iphone  sale  cryptowear https   t co nclyr6fbph"
"positive"," pomegranate heart  love  valentine  mugs  iphone  speakers   more https   t co v9vasbq4mz https   t co xprh7f2zl1"
"positive","election tools  what an  apple  iphone is used for    always amazed of the counter counter narrative israel is allo  https   t co qq73gnldea"
"positive","swap your smashed phone    for a new one or cash it    visit  techhouse stores   https   t co 7qm5pk2sdi      https   t co x3z30ze05f"
"positive","usb 2 0 docking station https   t co aceqrwy96g  imexx  new  florida  ventas  cables  audios  iphone  gadget  tech  https   t co 0ccbkqq0by"
"negative","rt  nikcastanon  life s a bitch but she s mine           april  nyc  spring  fashion  mensfashion  hair  hairgoals  hairstyles  me  beauty "
"neutral","64gb apple iphone xs for  839 at gazelle   160 off  no contract  30 day return   apple  iphone  iphonexs https   t co 1sfigpcfvs"
"neutral"," gizmodo  iphone with  android    no way     "
"negative","i low key miss opening up my phone with my fingerprint  face recognition ain t doing it    iphone   android   money   broke"
"positive"," bible verse found with uplifting psalms daily by  roboticode for  android  iphone  kindle   dailyinspiration https   t co 4kcjdj5uro"
"positive","well  that was a quick 30 days   applenews  applenewsplus  iphone  ipad  ios122 https   t co 5lbwtelknf"
"positive"," select iphone cases on sale  buy now  https   t co zpjvyuwt6q dual layer pc hard back  amp  flexible silicone inner co  https   t co j1bptmjk99"
"positive","civilization vi now supports cross platform saves on steam and nintendo switch  2k games has announced that sid mei  https   t co f9mvz9metd"
"positive"," cacoteoradio la primera emisora de reggaeton en linea a nivel mundial 24 7    visit https   t co 85q6anhlc8 and hi  https   t co amapcrscyk"
"positive"," apple  patent application  confirms  a new feature for  iphone   read  https   t co ecpfplbz7c    underwater https   t co vluinrfiis"
"negative","review   die  robocalls  die  a how to guide to stop spammers and exact revenge    https   t co i3aghxh7un  resist  https   t co ax0o2f2wey"
"neutral","in hospital again this week   iphone  photography https   t co fh5r3cwrcu"
"positive","people who like iphones  why  i ve just been forced to have one as a work phone  you can t even use the headphones  https   t co sagofkux57"
"positive","the best  iphone xs screen protectors https   t co yicfkf8fio"
"positive","newly released iphone  amp  ipad apps   april 5  2019 https   t co cxxdgijxam  apps  deals  new  sale  free  iphone  https   t co larqjvzr04"
"negative","circle dragger   beware black dots and obstacles for  iphone  amp   ipad on  urappstore https   t co nclxanetvt  itunes  https   t co otxcmdryxh"
"neutral","with  chrisrock  setlife  actor  iphone1  iphone omg i had the first iphone whaaaaaaat https   t co d3psdapgul"
"neutral","rt  zgamer70008000  8 ball pool  315 4 double pots in a row  8ballpool  8ball  gamestagram  iphone  blog  gaming  miniclip  gaminglife  poo "
"positive","8192 number puzzle challenge   ios source code   https   t co hmz4hrw00y via  codesterhq ball journey   ios source  https   t co gfn7kgms4d"
"positive","secure store  vault  for your photos  amp  videos on the  iphone  pin   passcode   touch id protection   privacy  free  https   t co 3fsljoiqve"
"positive"," bible verse found with words of jesus each day by  roboticode for  android  iphone  kindle   dailyinspiration https   t co 0jf7ht6vhh"
"neutral","rt  washer direct   jeffreestar  jeffreestar my sister continually draws pictures of you on her  iphone   she uploaded this to  instagram i "
"positive","android smartphones  which is better for power users   android  india  ios122  bloodsport  blogger  hindi  mobile  https   t co 8keni9mu0k"
"positive","i am listening to  pantera   psycho holiday   i love heavy metal radio        https   t co efzlnor5l7    applemusic  https   t co wp89mjcvyf"
"negative","rt  markuk97  hot pink plasma on black iphone wallets https   t co drugfkw2ew via  redbubble  hot  pink  plasma  iphone  wallet  case  blac "
"neutral","swan on parade  oegstgeest  netherlands  swan  iphone  water  spring https   t co tydcvdj8nk https   t co gali3nkhmj"
"positive","welcome welcome   single by warnp  warnp  therealwarnp  philosopherentertainment  philosopherent itunes   https   t co irj4aq8vml"
"positive","   apple fan boys about to be heated  maybe you ll get a  better  camera again on the next  iphone https   t co 7ge5elrfju"
"positive","samsung electronics announced its earnings guidance for the first quarter of 2019 https   t co let7awauug of your c  https   t co gplyaygz1u"
"positive","my  apple  iphone is getting old and i am thinking to upgrade  twitterverse  please suggest and help me narrow down  https   t co ldcckiieih"
"positive","  new video  how to transfer contacts from iphone to android   making a switch from iphone to android     you ll ne  https   t co jh7unkmajy"
"neutral","rt  ncceducation  during the first live  iphone presentation   stevejobs had to frequently switch phones behind his desk  otherwise  it wou "
"neutral","nobody    absolutely nobody    absolutely nobody about nobody     iphone owners   https   t co aiwkbgbtq5"
"negative","oneplus 6 quality control exposed https   t co urb5wms8fp via  youtube  1ontech  viewclip  manufacture  rigid  https   t co 6timisdmzi"
"positive","it s a new week   time to make the best decision   purchasing volta charger  click link in bio   charger  iphone  https   t co 1txy9jvj1v"
"positive"," bible verse found with prayers  amp  blessings daily by  roboticode for  android  iphone  kindle   dailyinspiration https   t co 7blip3dkcd"
"neutral","nowplaying   astro raph   hold me  https   t co 6xyfg2isbo   iphone app https   t co csmu9adcyx   peripouwebradio"
"positive"," bible verse found with wise proverbs daily by  roboticode for  android  iphone  kindle   dailyinspiration https   t co sa3kb1rbrr"
"negative","rt  wallsbyjfl  walls from past week   created by jfl  shot by jfl  pack download https   t co zwj41y6nda  all walls  https   t co kle5ubpi "
"positive","it s april 06  2019 at 08 00am  good morning people   checkout our free apps at https   t co 2bnmswwwlg  ios10  https   t co 2a1tgu8udd"
"positive","waterproof blackhead removal facial brush iksmarkets   things and more shop   https   t co db18q66btq tag  follow a  https   t co jzv6i77oow"
"positive","iphoneaddict   iphone 2019   tsmc augmente la production des puces 7 nm  actualit amp avisiphoneipod  iphone  https   t co vatg2ccjfa"
"positive","for some reason  my iphone keeps playing podcasts out of nowhere at the loudest volume    has anybody else had this  https   t co rfeyxt5paf"
"positive","buy tik tak toe pro   turn based family game https   t co zoatcvmlri for  iphone  amp   ipad  itunes  appstoregames  https   t co fv2aej5yvy"
"positive"," gadgetstore  iphone  pets  wireless  petsitem  bestlifestyle  viral  trending dirt cleaner soft gel https   t co nudfbrsbm1"
"negative","i m thinking of burning some phone cases  start off with an iphone  who would be interested  you can choose the des  https   t co xxaywjxvm4"
"positive","today  the fastest growing paid app in the us    is  voice dream scanner   it debut at the number 76 spot   more in  https   t co gpkcrk654t"
"positive","waterproof armband case for 5   6 inches phone device  get it here     gt  https   t co luwvxasq0j    cellphone  https   t co zc3cue97jd"
"positive","what these amazing products click the click here and shop my store of artwork    link  https   t co iodcwi70v7   https   t co mjgakfsjy7"
"positive","i m so into totally free sunglasses  iphone"
"positive","came spring  blooming cherry blossoms   it s beautifully japan   japan  japanese  japan of insta  flowers  spring  https   t co expat2kfhe"
"negative","report  apple is now all in on creating own modems in pursuit of 5g iphone  read more  https   t co ira3y19vgq  https   t co vsbzhkynlt"
"positive","universal quick charger for smart phones and tablets  8 99 amazon 5 stars  gt  gt  gt  https   t co nsdryqlmzd  phone  iphone  samsung"
"positive","pre order here  https   t co obrsgku0gm   beauty  food  style  fitness  repost  bandung  soundcloud  branding  https   t co hj5c4btvfw"
"neutral","rick goes to    china    lego  legomoc  legofan  legophotography  legostagram  afol  chinanewyear  melbourne  https   t co gmxzowowim"
"neutral","64gb apple iphone xs max for  929 at gazelle   170 off  no contract  30 day return   apple  iphone  iphonexsmax https   t co imga48ce12"
"negative","rt  c joyce3183  leftover  raindrops on the bushes in the  backyard this chilly morning  wnep  amnewsers  iphone  nepa https   t co hiuvqcv "
"neutral","rt  annova canada  sony mdr as400ip black active headphones for iphone  ipad and ipod  buy now   https   t co ufrowv0ejm"
"neutral","our  phoneoftheday is this  apple  iphone 5s with 16gb of storage and on  ee   looking to upgrade  trade in your cu  https   t co o9vdv4abve"
"neutral","rt  zgamer70008000  8 ball pool  314 4 double pots in a row  8ballpool  8ball  gamestagram  iphone  blog  gaming  https   t co mgrvi6fona"
"neutral","rt  gigi pqrs2928  today    iphone https   t co t5anezx6x8"
"negative","i can t remember how to make a monkey flippin   ringtone for my  iphone  so next time i see  timapple i m going to punch him in the throat "
"negative"," apple s  tvapp continues to be their most bug riddled app   i bought 8 individual seasons of a tv show    appletv  https   t co fgnzok3yil"
"neutral"," hookah  hookahplace  bare  neon  lategram  moscow  iphone   hookahplace roman https   t co 1zhf35zuvi"
"positive","rt  techeblog   apple  iphone xe with a 4 8  oled display could be coming  here s what it might look like  https   t co v56zfossxv  iphonex "
"negative"," iphone really ain t shit  forget the comparison  stand alone these bitches overrated as hell"
"neutral","russian blue  cat staring tough  iphone 6 plus  case  https   t co ytql8tyybj https   t co 6xhslfu5i2"
"positive","sun moon stars white galaxy   casetify   iphone  iphonecase  gadgets  casetify  sunmoonstars  stars  galaxy  https   t co zxhavzz8qe"
"positive","  chilled me softly from the sun light        instapic  iphone  vsco  likeforlikes  likeforfollow  like4likes  https   t co wy5ymqfbcr"
"neutral"," lookup   instagram  industrialdesign  industrial  pic  sarita  photography  iphone upmarkettt trinidad  and  tobag  https   t co s3ejorrtov"
"positive","3 handy iphone apps that assist you with  home improvement  https   t co twtiallgdn  iphone  diy  home  ipad"
"neutral","i ve had an  iphone and  macbook for 10 years now   apple  tim cook  applemusic  appletv"
"positive","today  the fastest growing free app in the us    is  photo prints now   it debut at the number 34 spot   more infor  https   t co rq92dafiuq"
"negative","two  chinese students in the  us state of  oregon duped  apple out of nealy  1 million in  iphone replacements and  https   t co qdfhjofeyy"
"negative","rt  sharnaeserenity   i wish this  could check my all my  backoftheback  iphone  gallery and videos  amp  show my friend    nickiminaj so she c "
"negative","  miz future news no 0024    the  great  history of personal  computer from memex to  iphone   https   t co ca3mz2xwis"
"neutral","rt  lock rauhl  back with a spam     sending those in some hours    reply with  1 2 3 4 5 6  pack or all  if you want    must be following "
"positive","morning guys   me  myself  selfie  morning  goodmorning  man  guy  boy  teen  instaboy  instaguy  instaman  https   t co stigarnqjz"
"positive","i don t own an  iphone but this looks like a really cool educational resource for students of music from one of tod  https   t co ltwtykh6mj"
"negative","rt  jeaninedeal   top mobile phone firms warning shareholders over devices  possible cancer risks   but fail to tell customers    https   t "
"positive"," base camp     photo  photooftheday  picture  pictureoftheday  photographer  art  artphoto  artoftheday  instagram  https   t co goggwbzdtq"
"positive","visit us today in  pittsburgh at  verizon  go wireless   2757 e  carson st  or 5889 forbes ave    iphone  https   t co tfsmeay6ye"
"positive","good night guys   me  myself  selfie  night  goodnight   man  guy  boy  teen  instaboy  instaguy  instaman  https   t co shsnqtgrrc"
"positive"," firstworldproblems  paulstanley8 on the  iphone and  chbnradio on the  mac   great coverage of the  hbauk2019 week  https   t co 0zyyoi4hce"
"negative"," noteswriter i ve really been having trouble with this app  amp  cannot install pro version you recommended  i ve been  https   t co 0mtp4i4wvw"
"neutral"," discount upto 85  off   apple iphone x  64gb   256gb    space grey  click here to see price    https   t co nuomwymusv"
"neutral","check out this apple iphone 7  fully unlocked  128gb   rose gold  the price is really cheap  order here now  https   t co j2jllpvlgo"
"neutral","get hipster  chef  stickers   cooking  text  blogger  iphone  ios10  texting  imessage  imessageapp  imessagesticker https   t co 8eo63hspgj"
"positive","rt  besty app  exciting  we have a new update  soon to be released  a game changer in the world of social media platforms    besty created "
"positive","thank you very much  discchord for featuring my new ambient album made entirely on ios     ambientmusic  https   t co u1yvt4tsb9"
"neutral","it s april 04  2019 at 11 30pm   metropcs    tmobile  device  unlock  application on sale swiftunlock   samsung  iphone  apple  lg"
"positive","day 15 urban nature spring 2019     urbannature  nature  spring  artist  art  photography  naturephotography  https   t co 1khpi4b0pq"
"positive","whatsapp for ios is free to download from app store and comes with similar features as available for android versio  https   t co vjsqmfl8ey"
"neutral"," central  duncantang  duncantangphotography  duncantanghongkong  iphone  iphonexsmax  shotoniphone  hongkong  https   t co vkthgkqhtl"
"positive","aldgate east station          maybeldner  ilovelondon  london enthusiast  londonlife  ldn  london  londoner  https   t co wozmiii1kl"
"neutral","           tfbjp  teamfollowback  teamfollowwack  iphone  1000aday  teamhitfollow  follow  openfollow  mustfollow  ipod   dipromosikan"
"positive","win an hp sprocket plus to print your mobile snaps on the go       enter here   https   t co gyrie7h1ah     comp  https   t co ronn9ypcee"
"positive","cool colours  triple camera  copied from an android phone  huh    iphone11  iphone  tech https   t co idt4qwaeot"
"positive"," forsale  2  verizon health and wellness center neoprene armband  iphone 4 4s  ipod classic https   t co sy8lmrjodc https   t co de9wotsoh1"
"neutral","rt  1nsane dev   prototype  iphone x  running internal test os 11 0   switchboard  appleinternal  applecollection  apple https   t co bzbhw "
"neutral","tea plantation in cameron highlands  malaysia   malaysia  cameronhighlands  travelgram  travel  nomads  instagood  https   t co j9ojy6a5oh"
"positive","tweak   vesta    app drawer  condition     100  work  repo    https   t co lf7ndjdlra    iphone 6s  ios 12 1 2   https   t co 4z3ytfzeb1"
"positive","iphone 7 won t turn on  looking for a screen repair replacement  we have you covered at mobilesentrix    https   t co bbf4okt1ct"
"positive","minimalist  wallpaper  original  hdwallpaper for  phone  another free  artwork from my  atelier  https   t co gh6quzsqxl"
"positive","rt  am0 onh   nature 80 my lovely photos    iphone 8 https   t co yrobjsmnme"
"positive","adhm dialogue in my voice            expressions  ib   revolverranii  acting  ib   r anshuman  love  bollywood  https   t co 1gctkobiiv"
"positive","found this with prayers  amp  blessings daily by  roboticode for  android  iphone  kindle   dailyinspiration https   t co mrsyz4k08m"
"neutral","guys who wants these  gadgets  laptops  laptop  iphone  iphonexs  cup  headphones  headsetcarrefour https   t co xqtwmui8yb"
"positive"," april 04  2019 at 09 00pm  apple  iphone  amp   samsung  unlock code 100  best price guarantee codes to your email unl  https   t co nx8hdmb9we"
"positive","sunrise   views that make the pain to wake up at 4 30am more bearable      sunrise  windmills  windmills  water  https   t co zambtmmvpq"
"neutral","https   t co qz03a43mdh apple accounts for about 25  77 per cent of berkshire s portfolio  which was higher than 23  https   t co gdsmhrvr9w"
"negative"," ios6  iphone  developer looking for  job  hiring  check  jobely https   t co eia7ofrfrh"
"positive","leather flip case for iphone xs x 8plus 7plus 6plus      0202024981 60cedis pickup delivery available  site15  https   t co cgnpqicmzb"
"positive","rt  matialon  what will you do with the new coming  applecard       gs  appl  iphone  survey   https   t co kcary2pc6n"
"positive","smartywave wireless car charger could work as a car phone mount  charging pad or a car wireless charger  just use i  https   t co ceq1icebiz"
"positive","download here  https   t co wkxnkx7wsa  shot on phone with different 14 language support    shotoniphone  shoton  https   t co kyiowcdelx"
"negative","every single one of us is entitled to be our true self  without judgments and finger pointing   https   t co cckfpovked"
"positive","trim your video down to the very best moment  learn to easily edit out what doesn t help tell the story  how to tri  https   t co j2a9llfccg"
"positive"," zacbowden  ios but its solely based up on apples tight software and hardware integration and it s stellar app stor  https   t co xi7tjls0nq"
"neutral","itunes taking forever to sign in  how to fix  anybody   help  iphone  ios  howtofix  itunes  troubleshoot"
"neutral","nowplaying   mister t    sometimes  https   t co 6xyfg2isbo   iphone app https   t co csmu9adcyx   peripouwebradio"
"negative","iphone repair  mac repair  diagnostics for your devices  problems  malware removal  our team here at gravity has go  https   t co hpdlsp24qp"
"positive","in the end  i think that some people love  iphone  i do "
"positive","you will see the difference of our  bouletta premium leather cases   personalization welcome  just the way you imag  https   t co 8p9kiw7f2a"
"positive"," apple  iphone 7  a1778 32gb gsm  unlocked  very good  https   t co rkst9l37wd price   209 99 https   t co ydmxjua8ry"
"positive","one of the  iphone s most useful features is hidden just to the left of the homescreen https   t co mxakioleel"
"positive","the latest the mitch english chronicle  https   t co lhwjt1qj0p thanks to  okc dodgers  igyaan  ajacksontv  iphone  apple"
"positive","the avanco hear   affordable bluetooth hearing aid earbuds   google  earbuds  android  news  hearingloss  iphone  https   t co yvmsny4ana"
"neutral","iphone cases  covers and wallets             iphone  apple  instagood  iphonexr  selfie  ios  photo  iphone8plus  https   t co zzephm17ly"
"neutral","tchau  an ncios no  iphone friday  it s april 05  2019 at 04 30pm https   t co gscbglavgs"
"negative","ryan sweaty and half naked getting gritty with the crowd  o2academybrix with  thehunnaband                 https   t co nwb5helquu"
"neutral","my setup today   iphone  theverge  wallpaper https   t co bfr2xpxxfx"
"positive","you would think after years of making incredible phones apple would ve figured out how to make a phone screen doesn  https   t co cnj4wdgh1t"
"positive","hey guys  video games in https   t co rpgttodmsn  shopping  price  money  car  coupon  tv  video  aws  prime  https   t co 4oudvwqvme"
"positive","so  today after being with  iphone for about a year i moved back to  android  immediately i noticed it s easier to  https   t co nszlzfow4q"
"positive","don t be afraid of change                              newyork  1  ny  truth  travel  positivevibes  https   t co gzkf0ztt6j"
"negative","rt  ashiro vi  it would be dope if they called the new iphone  iphone steve jobs      apple  appleevent  iphone  timcook  stevejobs"
"negative","google paid  105 million to two executives accused of sexual harassment  https   t co cz9rbiugeg   engineer  iphone  https   t co l68lv64zus"
"positive"," bible verse found with walk the walk daily by  roboticode for  android  iphone  kindle   dailyinspiration https   t co w5vwyukerz"
"neutral","google duplex assistant to reach  iphone s  most  android phones  https   t co jijckpjzvn"
"positive","original smart watch waterproof gps fitness for only 10      https   t co gsvhx3umk0   shopping  shoppingstar  https   t co 3owwacpjws"
"positive","when i go workout        it s about function  amp  being able to work well when i drive manual wit my brace for dropfoo  https   t co zmy1te0b9d"
"positive"," select iphone cases on sale  buy now  https   t co zpjvyuwt6q dual layer pc hard back  amp  flexible silicone inner co  https   t co eybjmuxrur"
"neutral","same screens colour selection but this time with a  blue  filter     bluefilter  iphonexs and  applewatchseries4    https   t co vjwuhvgcxn"
"neutral","  narita   25 years later since the 1st time i came to japan  now i just visited here    narita  naritasan  temple  https   t co mgxup2digt"
"positive"," apple needs to step up its game when it comes to smart phones  companies that are no older than 8 yrs are making p  https   t co f6eehw8dq7"
"neutral","missouri map painting printed iphone cases and covers    https   t co armfrz0akw    missouri  missourimap  iphone  https   t co qj6z7otdxo"
"positive"," iphone cases look like  cassette  cassettetapes  future https   t co 0b8mrrldyz"
"positive"," rt for  iphone   fav for  android   followme for  desktop"
"positive"," bible verse found with words of jesus each day by  roboticode for  android  iphone  kindle   dailyinspiration https   t co qfz3pp7b6g"
"positive","openai shifts from nonprofit to  capped profit  to attract capital  https   t co urxmhese6w   business  iphone  gadget  samsung  techie"
"positive","next generation bms technology hos  smarthome  automation for bacnet bms walkthrough setup tutorial for  appletv   https   t co 1khyw2poc3"
"negative","i am listening to  tony moran nile rodgers   my fire  tony moran bissen video edit    avradio         https   t co bg0v2uboio"
"positive","i am thankful that despite the fact it s challenging working late on friday  amp  having to work the saturday before wr  https   t co pk6vc3uybh"
"neutral","today    iphone https   t co t5anezx6x8"
"neutral","rt  techinrl  find your airpods  https   t co ekvfn11o4f  airpods  airpods  airpods  headphones  iphone  apple  tutorial"
"positive","you have no idea how stressful it is when your phone decides to start super liking people on tinder against your wi  https   t co nea3mbdsyo"
"neutral","i think that  blackberry will go out of business in the near future  people are hardly buying their smartphones  an  https   t co cbtqaqoeqx"
"neutral","rt  ar72014   wallpapers  homescreen  lockscreen    nebula fusion red    wallpaper for     iphonexsmax     iphonexr    iphonexs     iphonex "
"positive","one of the iphone s most useful features is hidden just to the left of the homescreen https   t co odbrevsdy5  iphone"
"positive","rt  ahmedkabir31  success   inspirational and motivational quotes https   t co wgxamixj8t for  iphone  amp   ipad  itunes  appstoregames https  "
"positive"," best liquid glitter case  iphone xs liquid glitter case  iphone liquid glitter case https   t co sapxuqpojr https   t co ghqtx0zm78"
"neutral","photographs   puzzle stories  risolvendo puzzle  creerai una storia https   t co awhwuq6ulm  apple  ios  iphone"
"negative"," touchscreen phone  tablet pc etc  gadgets  boystoys  gear  geeky  useful  edc  smartphone  travel  deals  life  https   t co 6vt6hlyupx"
"negative","have a look at this amazing story  the  iphone concept  was not invented by apple but by a never heard company name  https   t co remwlji265"
"positive","facebook game ranking no 10 cookie jam sgn https   t co oeebzlrbjb  jamjamtv  game  facebook       iphone  ipad  googleplay  free   jamjamtv"
"positive","two great apps  your chance  try now for free    document and book translator   https   t co geg9ru8fxb   speak any  https   t co lq20ytf2yw"
"positive","guy 1  there s no way that a big company like apple can get scammed easily guy 2  hold my cendol   apple  iphone  https   t co whgaamqnic"
"positive","how to nickname a contact on  iphone or  ipad   full article here   gt  https   t co btcrcco4q0 https   t co cq6cke2ceq"
"negative","getting photos off of your  iphone without sending them into the net remains a nightmare  apple it s just annoying"
"positive","lovely  pretty much the day i pay off my iphone it decides to not work for calling and imessage  y know the necessa  https   t co zmndxyzx7z"
"positive","the avanco hear   affordable bluetooth hearing aid earbuds   google  earbuds  android  news  hearingloss  iphone  https   t co qeg2yvk3bb"
"neutral","rt  ar72014   rt  iphone  iphonexsmax  iphonexs  iphonexr  wallpaper  ios  homescreen  background  backgrounds   my electric wave  wallpape "
"positive"," giveaway   ios  windy   natural white noise   1 99 to free  on https   t co hymmxo05z5 get the paid app for  free  https   t co 3hpay7id6x"
"positive"," the royal dragoneers  only  99c  or  free w   kindleunlimited  iphone  ipad the  kindle  bookreviews  https   t co efk9himkqy"
"positive","i just posted this on letgo and i wanted you to see it  https   t co dajjteyeqp  iphone 6 plus  works   "
"neutral"," deals  124 99 usd   apple iphone 6 4 7  16gb  factory gsm unlocked at amp t   t mobile  smartphone  https   t co y10wogluxc"
"neutral","more than 200 000 sign up for apple news  trial within 48 hours of its debut https   t co 3kmowgo846  apple  https   t co pytmvwewry"
"positive"," bible verse found with identity in christ daily by  roboticode for  android  iphone  kindle   dailyinspiration https   t co kq6hxlrxna"
"positive"," apple can t help   how a molecular biologist trained stay at home moms to recover lost iphone photos   cbc news  https   t co xirinmthzt"
"positive","the less people know about you the happier you will be                            newyork  1  ny  truth  travel  https   t co irfvcatajk"
"neutral","i use this app all the time to scan in documents  manuals  recipes etc  it turns it into a  pdf that you can email  https   t co 95oyc1bvei"
"positive","rt  device world1  full 3d 9h glass screen protector for samsung galaxy note9 note8      0202024981 50 cedis pickup delivery available  sit "
"positive","rt  mobilestoreshop  iphone xs max dual sim with best price    freeshipping  buy now   https   t co ulisql6ey6  iphone  iphonexsmax  smartp "
"neutral","rt  davidmoadel   apple looks set to resize the  iphone https   t co cepylxcnkn  slv  gld  qqq  djia  dia  spy  stockmarket  commodities  i "
"positive","a hungry  bee in my garden with its tongue ready for action  aboutinsects  shrewsbury  iphone  photography  https   t co wl3jg77tvw"
